"单遮眼","hair over one eye one eye covered"
"是瑟瑟的东西,建议在多人的地方打上加载【2】","uterus,m legs,Detailed pudenda,Detailed vagina,Female genital organ,Female urethral foramen,urethra,Urethral orifice,Break the vagina,Break the vagina with your hands,Beautiful pussy,Beautiful nipples,mature girl"
"是瑟瑟的东西,建议在多人的地方打上加载【1】","{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,1girl,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,Snow-white hair,bright pupils,{{full body}}, Sky blue eyes,dynamic pose,dynamic angle,looking at viewer,white thigh boots,medium breasts,medium breasts,Wedding dress,detailed clothes,(two legs),(two hands),((cum on face)),((cum on body)),((cum on hair)),((wet clothes)),(((buttocks bleeding))),detailed fingers,open_mouth,hair ornament,hair rings,hair flower,beautiful detailed eyes,(spreading legs),masterpiece,best quality,detailed face,mature girl,(unbuttoned clothes),full body,sofa,pillow,seductive smile,heavy breathing,long messy and white hair,(blue eyes with long eyelashes), earrings,choker,((short shirt with off shoulder and lace trim)),(midriff),(lace-trimmed skirt),upturned nipples,rolling eyes,Bare,naked,pornographic,Pudenda,vagina,Clear vagina,Uterine exfoliation, cervix"
"捆绑白发蓝眼湿透成熟女性","(two legs),(azur lane),(two hands),(lying),((cum on face)),((cum on body)),((cum on hair)),((wet clothes)),(((buttocks bleeding))),detailed fingers,open_mouth,hair ornament,hair rings,hair flower,beautiful detailed eyes,(spreading legs),masterpiece,best quality,detailed face,mature girl,(unbuttoned clothes),full body,(((lying))),sofa,pillow,seductive smile,heavy breathing,long messy and white hair,(blue eyes with long eyelashes), earrings,choker,((short shirt with off shoulder and lace trim)),(midriff),(lace-trimmed skirt),((( shibari)))"
"玛奇玛","tobiichi origami, {{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,1girl,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,Snow-white hair,bright pupils,{{full body}}, Sky blue eyes,dynamic pose,dynamic angle,looking at viewer,white thigh boots,medium breasts,medium breasts,Wedding dress,detailed clothes,(two legs),(azur lane),(two hands),(lying),((cum on face)),((cum on body)),((cum on hair)),((wet clothes)),(((buttocks bleeding))),detailed fingers,open_mouth,hair ornament,hair rings,hair flower,beautiful detailed eyes,(spreading legs),masterpiece,best quality,detailed face,mature girl,(unbuttoned clothes),full body,(((lying))),sofa,pillow,seductive smile,heavy breathing,long messy and white hair,(blue eyes with long eyelashes), earrings,choker,((short shirt with off shoulder and lace trim)),(midriff),(lace-trimmed skirt),((( shibari)))"
"很涩的","nsfw, sex, rainy, public, happy sex, orgasm, open mouth, masterpiece, best quality,official art,extremely detailed CG unity 8k wallpaper, pubic tattoo on underbelly, long hair, milf, naughty_face, medium breasts, black kneehighs, large_insertion, pussy_juice, shaved_pussy, cum_inside, girl_on_top"
"瑟瑟罕见","tobiichi origami, {{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,1girl,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,Snow-white hair,bright pupils,{{full body}}, Sky blue eyes,dynamic pose,dynamic angle,looking at viewer,white thigh boots,medium breasts,medium breasts,Wedding dress,detailed clothes,(two legs),(azur lane),(two hands),(lying),((cum on face)),((cum on body)),((cum on hair)),((wet clothes)),(((buttocks bleeding))),detailed fingers,open_mouth,hair ornament,hair rings,hair flower,beautiful detailed eyes,(spreading legs),masterpiece,best quality,detailed face,mature girl,(unbuttoned clothes),full body,(((lying))),sofa,pillow,seductive smile,heavy breathing,long messy and white hair,(blue eyes with long eyelashes), earrings,choker,((short shirt with off shoulder and lace trim)),(midriff),(lace-trimmed skirt),((( shibari)))"
"江茶","lovely,starry sky,clusters of stars,shooting star,detailed background,overall view,portrait,full body,expressions,incredibly_absurdres,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,straight-on,character design,artbook,tachie,azur lane,virgin,young girl,ahoge,bangs,long_hair,very_long_hair,sidelocks,red eyes,black hair,open mouth,tongue out,evil smileevil grin,facing viewer,on side,bare shoulders,clothes_lift,detail fingers,breast hold,barefoot,skindentation	,torn_thighhighs,beautiful_face,naughty_face,eyeshadow,no_bra,torn clothes,school_uniform,crotchless panties,formal dress,sideboob,upturned nipples,suspenders,hair ribbon,neck ribbon,hair ornament,collar,book"
"鳐鱼","masterpiece, best quality,1girl,full body,gradient hair,crystal pink blue hair,turquoise eyes,nsfw, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet"
"白毛阿姨被奇怪生物雷普了呀哟（原本想要天使触手）","masterpiece, best quality, girl, milf, (solo), ((((angel)))), [silver hair], bare_legs, bare legs, spread legs, arms up,  lying , heart in eye, (saliva), (naughty_face), ((tentacle)), (no bra), [no_panties], (pubic tattoo on underbelly), ((penetration)), [spreader_bar], bound_arms, (pussy_juice), [anal_insertion], ((breast_sucking/nipple_suck)), [very long hair], [cum], [cum_inside], [cum_on_breast], breasts out, [[pink lucency full dress]], nsfw,[cum pool]"
"去衣大法（胸部）","nsfw,1girl,masterpiece,highly detailed,delicate white skin,{delicate beautiful nude breasts out},{nipples}"
"二次元2.5D","(masterpiece),(extremely detailed CG unity 8k wallpaper),best quality,((upper body)),(arms behind back),(solo),1 girl,medium bre"
"街头露出(新手）b站辉天幻心","{masterpiece}, best quality,facing viewer,fucked silly,wind coat,pantyhose pull,Open clothes,no panties,see-through bra,In the middle of the street,detailed vagina between legs,cum in ass,vibrator in thigh strap,exhibitionism,NSFW"
"扶她通式","(nsfw), masterpiece, best quality, (girl with penis:1.35), ((large penis, veiny penis, bare penis)), upper body"
"扶她通式改","nsfw, ((masterpiece)), best quality, (girl with penis:1.4), (just one penis, thick penis, large penis, veiny penis), erection"
"负面ino","lowres, bad anatomy, bad hands, text, error, (missing fingers, extra digit, fewer digits:1.3), cropped, worst quality, low quality, normal quality, jpeg artifacts,signature, watermark, username, blurry, artist name, (worst quality, low quality, extra digits:1.3), detached collar,(juvenile:1.3), (simplistic:1.3), (lack of maturity:1.3), (unconvincing age:1.3), (cliche:1.3), "Poor quality image, (low resolution:1.3), (pixelated:1.3), (blurred:1.3), (grainy:1.3), (noisy:1.3), (compression artifacts:1.3), (over-exposure:1.3), (under-exposure:1.3), (bad lighting:1.3), (poor composition:1.3), (unattractive:1.3), (unappealing:1.3), (unedited:1.3), (amateur:1.3),(three arms:1.3)(poorly drawn hands:1.3)"
"白毛金瞳破烂的衣服触手淫纹","masterpiece,best quality,highly detailed,Amazing,finely detail,extremely detailed CG unity 8k wallpaper,score:>=60,tentacles_under_clothes,beautiful detailed eyes,Fine hair texture,hime_cut,medium_breasts,((torn_clothes)),white detached sleeves,white garters with golden ornament, ,warframe,no shoes,white hair ,((golden eyes)),pubic tattoo ,cum on body"
"白发红瞳的天使","realistic, masterpiece, best quality, highres, 1girl, Loli, small breasts, Pussy, anus, extremely detailed, nipples, collarbone, lips,Watanabe you, light brown hair, blue eyes, short hair, relationship graph, from above,ass,from behind,looking back,looking at viewer,paint pouring onto ass, bright and dramatic colors, lots of colors, Melon and Yellow Green and Mustard Yellow and rainbow colored spotted Bodysuit, open bodysuit, pussy cutout, crotch cutout, impossible bodysuit, cameltoe,nude, completely nude, pussy,Body paint, multicolored paint splattered all over body:0.24, dripping paint, wet paint, paint splotches, paint splatters, paint cans, paint brush, multicolored background,paint handprints, Photoshop, official art, open mouth, Happy, smile, v, teeth ,Jackson Pollock, Mark Rothko, Roy Lichtenstein, shiny, shiny paint, shiny skin,Vignetting,Negative prompt: lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg"
"白毛红瞳内衣 (正常版)","((masterpiece)), (((best quality))), ((ultra-detailed)),{Detailed},{Exquisite},{{illustration}},highres,{1 girls},{{solo}},an extremely delicate and beautiful girl,{whole body},{royal sister},medium-length hair,{{white_hair}},{red pupi},beautiful detailed eyes,{disheveled hair},{ahoge},{medium_breasts},{red Triangle bra},{red panties},{{mukuchi}},{standing},{{pornography}},{{disheveled}},{facing viewer},fancy,lure,blushing heartbeat,pant,Negative prompt: (low quality, worst quality:1.4), (bad anatomy), (inaccurate limb:1.2),bad composition, inaccurate eyes, extra digit,fewer digits,(extra arms:1.2),malformed limbs,extra fingers,fused fingers,upturned nipples,super hugeness breasts,huge_breasts,gigantic_breasts"
"可爱的妹妹,瘦瘦的","areola_slip,upturned nipples,breast hold,orgasm,heterochromia golden red,miniskirt,standing,white_hair,long_hair,angel,high heels,thigh strap,hair stick,earrings,necklace,areola_slip,lace-up boots,nun,white stocking,one-piece dress,medium_breasts,long hair,white hair, leather, 1girl, white dress, bondage, cuff, collar, rope bondage,realistic, masterpiece, best quality, highres, 1girl, Loli, small breasts, Pussy, anus, extremely detailed, nipples, collarbone, lips,Watanabe you, light brown hair, blue eyes, short hair, relationship graph, from above,ass,from behind,looking back,looking at viewer,paint pouring onto ass, bright and dramatic colors, lots of colors, Melon and Yellow Green and Mustard Yellow and rainbow colored spotted Bodysuit, open bodysuit, pussy cutout, crotch cutout, impossible bodysuit, cameltoe,nude, completely nude, pussy,Body paint, multicolored paint splattered all over body:0.24, dripping paint, wet paint, paint splotches, paint splatters, paint cans, paint brush, multicolored backgroun"
"瑟瑟罕见","areola_slip,upturned nipples,breast hold,orgasm,heterochromia golden red,miniskirt,standing,white_hair,long_hair,angel,high heels,thigh strap,hair stick,earrings,necklace,areola_slip,lace-up boots,nun,white stocking,one-piece dress,medium_breasts,long hair,white hair, leather, 1girl, white dress, bondage, cuff, collar, rope bondage"
"伤心的萝莉","white pantyhose,areola_slip,upturned nipples,breast hold,orgasm,heterochromia golden red,miniskirt,standing,white_hair,long_hair,angel,high heels,thigh strap,hair stick,earrings,necklace,areola_slip,lace-up boots,nun,white stocking,one-piece dress,medium_breasts,long hair,white hair, leather, 1girl, white dress, bondage, cuff, collar, rope bondage,nsfw,1girl,masterpiece,highly detailed,delicate white skin,{delicate beautiful nude breasts out},{nipples},masterpiece, best quality, girl, milf, (solo), ((((angel)))), [silver hair], bare_legs, bare legs, spread legs, arms up,  lying , heart in eye, (saliva), (naughty_face), ((tentacle)), (no bra), [no_panties], (pubic tattoo on underbelly), ((penetration)), [spreader_bar], bound_arms, (pussy_juice), [anal_insertion], ((breast_sucking/nipple_suck)), [very long hair], [cum], [cum_inside], [cum_on_breast], breasts out, [[pink lucency full dress]], nsfw,[cum pool]"
"德丽莎","nsfw,1girl,masterpiece,highly detailed,delicate white skin,{delicate beautiful nude breasts out},{nipples}"
"乐正绫","masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, brown hair, smile, long hair, low-tied long hair,ahoge,red_hanfu,red_eyes, brown eyes, ,Fine fried dough twist Braid, ,Lateral plait on both sides"
"御姐","areola_slip,upturned nipples,breast hold,orgasm,heterochromia golden red,miniskirt,standing,white_hair,long_hair,angel,high heels,thigh strap,hair stick,earrings,necklace,areola_slip,lace-up boots,nun,white stocking,one-piece dress,medium_breasts,long hair,white hair, leather, 1girl, white dress, bondage, cuff, collar, rope bondage"
"白毛红瞳女上位","nsfw,{sex},cum_on_vagina,{1 girl,solo,straddling,looking at viewer,white_hair,very long hair,red eyes},{{naked},girl_on_top,(arm_support),leaning forward,pov},orgasm,torogao,blush,from below,uncensored,{medium_breasts},cleavage,{{pornography}},{facing viewer},fancy,lure,blushing heartbeat,pant,Negative prompt: (low quality, worst quality:1.4), (bad anatomy), (inaccurate limb:1.2),bad composition, inaccurate eyes, extra digit,fewer digits,(extra arms:1.2),malformed limbs,extra fingers,fused fingers,upturned nipples,super hugeness breasts,huge_breasts,gigantic_breasts"
"修女","lace-up boots,nun,white stocking,one-piece dress,medium_breasts,long hair,white hair, leather, 1girl, white dress, bondage, cuff, collar, rope bondage,pubic tattoo,looking up,no pupils,empty eyes,drooling,messy_hair,open  mouth,glowing eyes,(half-closed eyes,),(expressionless),open  mouth,huge_breasts,underboob,areola_slip,wariza"
